tipo,key_normalizada,mongo_existe,mongo_source,mongo_id,mongo_nombre,mongo_modulo,mongo_user,mongo_role,sql_existe,sql_source,sql_id,sql_nombre,sql_modulo,sql_user,sql_role,dictamen,accion_recomendada,riesgo,motivo
PERMISO,compras_compras_tareas_crear,True,edarsa_hub.sec_permisos_catalogo,69e70939d92aa50ec386f8c3,COMPRAS_TAREAS_CREAR,compras,,,False,,,,,,,POSIBLE_FALTANTE_SQL,REVISION_MANUAL_NO_MIGRAR_EN_BLOQUE,MEDIO_ALTO,En Mongo pero sin equivalente normalizado en SQL.
PERMISO,compras_compras_tareas_ver,True,edarsa_hub.sec_permisos_catalogo,69e70939d92aa50ec386f8c2,COMPRAS_TAREAS_VER,compras,,,False,,,,,,,POSIBLE_FALTANTE_SQL,REVISION_MANUAL_NO_MIGRAR_EN_BLOQUE,MEDIO_ALTO,En Mongo pero sin equivalente normalizado en SQL.
PERMISO,compras_compras_tesoreria_autorizar,True,edarsa_hub.sec_permisos_catalogo,69e70939d92aa50ec386f8c6,COMPRAS_TESORERIA_AUTORIZAR,compras,,,False,,,,,,,POSIBLE_FALTANTE_SQL,REVISION_MANUAL_NO_MIGRAR_EN_BLOQUE,MEDIO_ALTO,En Mongo pero sin equivalente normalizado en SQL.
PERMISO,compras_compras_ver,False,,,,,,,True,dbo.RBAC_Permisos,c4d415ef-14fc-486e-804e-56a2ce9b1e36,compras.ver,Compras,,,SQL_EVOLUCIONADO_NO_EXISTIA_EN_MONGO,SIN_ACCION,BAJO,En SQL pero no en Mongo (evolución de SQL).
PERMISO,configuracion_config_editar,True,edarsa_hub.rbac_permisos,69e42eedfb75b19aabd0acd7,CONFIG_EDITAR,configuracion,,,False,,,,,,,POSIBLE_FALTANTE_SQL,REVISION_MANUAL_NO_MIGRAR_EN_BLOQUE,MEDIO_ALTO,En Mongo pero sin equivalente normalizado en SQL.
PERMISO,configuracion_config_ver,True,edarsa_hub.rbac_permisos,69e42eedfb75b19aabd0acd6,CONFIG_VER,configuracion,,,False,,,,,,,POSIBLE_FALTANTE_SQL,REVISION_MANUAL_NO_MIGRAR_EN_BLOQUE,MEDIO_ALTO,En Mongo pero sin equivalente normalizado en SQL.
PERMISO,finanzas_finanzas_cargos_aplicar,True,edarsa_hub.sec_permisos_catalogo,69e70939d92aa50ec386f8d4,FINANZAS_CARGOS_APLICAR,finanzas,,,False,,,,,,,POSIBLE_FALTANTE_SQL,REVISION_MANUAL_NO_MIGRAR_EN_BLOQUE,MEDIO_ALTO,En Mongo pero sin equivalente normalizado en SQL.
PERMISO,finanzas_finanzas_cargos_autorizar,True,edarsa_hub.sec_permisos_catalogo,69e70939d92aa50ec386f8d3,FINANZAS_CARGOS_AUTORIZAR,finanzas,,,False,,,,,,,POSIBLE_FALTANTE_SQL,REVISION_MANUAL_NO_MIGRAR_EN_BLOQUE,MEDIO_ALTO,En Mongo pero sin equivalente normalizado en SQL.
PERMISO,finanzas_finanzas_cargos_crear,True,edarsa_hub.sec_permisos_catalogo,69e70939d92aa50ec386f8d2,FINANZAS_CARGOS_CREAR,finanzas,,,False,,,,,,,POSIBLE_FALTANTE_SQL,REVISION_MANUAL_NO_MIGRAR_EN_BLOQUE,MEDIO_ALTO,En Mongo pero sin equivalente normalizado en SQL.
PERMISO,finanzas_finanzas_cargos_rechazar,True,edarsa_hub.sec_permisos_catalogo,69e70939d92aa50ec386f8d5,FINANZAS_CARGOS_RECHAZAR,finanzas,,,False,,,,,,,POSIBLE_FALTANTE_SQL,REVISION_MANUAL_NO_MIGRAR_EN_BLOQUE,MEDIO_ALTO,En Mongo pero sin equivalente normalizado en SQL.
PERMISO,finanzas_finanzas_cargos_revertir,True,edarsa_hub.sec_permisos_catalogo,69e70939d92aa50ec386f8d6,FINANZAS_CARGOS_REVERTIR,finanzas,,,False,,,,,,,POSIBLE_FALTANTE_SQL,REVISION_MANUAL_NO_MIGRAR_EN_BLOQUE,MEDIO_ALTO,En Mongo pero sin equivalente normalizado en SQL.
PERMISO,finanzas_finanzas_cargos_ver,True,edarsa_hub.sec_permisos_catalogo,69e70939d92aa50ec386f8d1,FINANZAS_CARGOS_VER,finanzas,,,False,,,,,,,POSIBLE_FALTANTE_SQL,REVISION_MANUAL_NO_MIGRAR_EN_BLOQUE,MEDIO_ALTO,En Mongo pero sin equivalente normalizado en SQL.
PERMISO,finanzas_finanzas_dashboard_ver,True,edarsa_hub.sec_permisos_catalogo,69e70939d92aa50ec386f8d0,FINANZAS_DASHBOARD_VER,finanzas,,,False,,,,,,,POSIBLE_FALTANTE_SQL,REVISION_MANUAL_NO_MIGRAR_EN_BLOQUE,MEDIO_ALTO,En Mongo pero sin equivalente normalizado en SQL.
PERMISO,finanzas_finanzas_presupuestos_editar,True,edarsa_hub.sec_permisos_catalogo,69e70939d92aa50ec386f8db,FINANZAS_PRESUPUESTOS_EDITAR,finanzas,,,False,,,,,,,POSIBLE_FALTANTE_SQL,REVISION_MANUAL_NO_MIGRAR_EN_BLOQUE,MEDIO_ALTO,En Mongo pero sin equivalente normalizado en SQL.
PERMISO,finanzas_finanzas_presupuestos_ver,True,edarsa_hub.sec_permisos_catalogo,69e70939d92aa50ec386f8da,FINANZAS_PRESUPUESTOS_VER,finanzas,,,False,,,,,,,POSIBLE_FALTANTE_SQL,REVISION_MANUAL_NO_MIGRAR_EN_BLOQUE,MEDIO_ALTO,En Mongo pero sin equivalente normalizado en SQL.
PERMISO,finanzas_finanzas_propinas_editar,True,edarsa_hub.sec_permisos_catalogo,69e70939d92aa50ec386f8dd,FINANZAS_PROPINAS_EDITAR,finanzas,,,False,,,,,,,POSIBLE_FALTANTE_SQL,REVISION_MANUAL_NO_MIGRAR_EN_BLOQUE,MEDIO_ALTO,En Mongo pero sin equivalente normalizado en SQL.
PERMISO,finanzas_finanzas_propinas_ver,True,edarsa_hub.sec_permisos_catalogo,69e70939d92aa50ec386f8dc,FINANZAS_PROPINAS_VER,finanzas,,,False,,,,,,,POSIBLE_FALTANTE_SQL,REVISION_MANUAL_NO_MIGRAR_EN_BLOQUE,MEDIO_ALTO,En Mongo pero sin equivalente normalizado en SQL.
PERMISO,finanzas_finanzas_responsabilidad_aprobar,True,edarsa_hub.sec_permisos_catalogo,69e70939d92aa50ec386f8d9,FINANZAS_RESPONSABILIDAD_APROBAR,finanzas,,,False,,,,,,,POSIBLE_FALTANTE_SQL,REVISION_MANUAL_NO_MIGRAR_EN_BLOQUE,MEDIO_ALTO,En Mongo pero sin equivalente normalizado en SQL.
PERMISO,finanzas_finanzas_responsabilidad_calcular,True,edarsa_hub.sec_permisos_catalogo,69e70939d92aa50ec386f8d8,FINANZAS_RESPONSABILIDAD_CALCULAR,finanzas,,,False,,,,,,,POSIBLE_FALTANTE_SQL,REVISION_MANUAL_NO_MIGRAR_EN_BLOQUE,MEDIO_ALTO,En Mongo pero sin equivalente normalizado en SQL.
PERMISO,finanzas_finanzas_responsabilidad_ver,True,edarsa_hub.sec_permisos_catalogo,69e70939d92aa50ec386f8d7,FINANZAS_RESPONSABILIDAD_VER,finanzas,,,False,,,,,,,POSIBLE_FALTANTE_SQL,REVISION_MANUAL_NO_MIGRAR_EN_BLOQUE,MEDIO_ALTO,En Mongo pero sin equivalente normalizado en SQL.
PERMISO,finanzas_finanzas_ver,False,,,,,,,True,dbo.RBAC_Permisos,ba14ce72-b059-405b-8dc5-668904ebb060,finanzas.ver,Finanzas,,,SQL_EVOLUCIONADO_NO_EXISTIA_EN_MONGO,SIN_ACCION,BAJO,En SQL pero no en Mongo (evolución de SQL).
PERMISO,inventarios_inventarios_analisis_ejecutar,True,edarsa_hub.sec_permisos_catalogo,69e70939d92aa50ec386f8cb,INVENTARIOS_ANALISIS_EJECUTAR,inventarios,,,False,,,,,,,POSIBLE_FALTANTE_SQL,REVISION_MANUAL_NO_MIGRAR_EN_BLOQUE,MEDIO_ALTO,En Mongo pero sin equivalente normalizado en SQL.
PERMISO,inventarios_inventarios_analisis_ver,True,edarsa_hub.sec_permisos_catalogo,69e70939d92aa50ec386f8ca,INVENTARIOS_ANALISIS_VER,inventarios,,,False,,,,,,,POSIBLE_FALTANTE_SQL,REVISION_MANUAL_NO_MIGRAR_EN_BLOQUE,MEDIO_ALTO,En Mongo pero sin equivalente normalizado en SQL.
